SWEEP_R11_K3_N20_M212_S000-l.out	0	212	20	131	0	0	870	636	40	20	0	213
SWEEP_R11_K3_N20_M212_S000-o.out	1	212	20	0	0	0	72	1060	36	18	0	230
SWEEP_R11_K3_N20_M212_S001-d.out	2	212	20	810	0	0	633	0	14299590	633	6614689	211
SWEEP_R11_K3_N20_M212_S001-l.out	0	212	20	142	0	0	870	636	40	20	0	213
SWEEP_R11_K3_N20_M212_S001-o.out	1	212	20	0	0	0	72	1060	36	18	0	230
SWEEP_R11_K3_N20_M212_S002-d.out	2	212	20	897	0	0	633	0	16797820	633	7896181	211
SWEEP_R11_K3_N20_M212_S002-l.out	0	212	20	146	0	0	870	636	40	20	0	213
SWEEP_R11_K3_N20_M212_S002-o.out	1	212	20	0	0	0	72	1060	36	18	0	230
SWEEP_R11_K3_N20_M216_S000-d.out	2	216	20	307	0	0	645	0	5151512	645	2352542	215
SWEEP_R11_K3_N20_M216_S000-l.out	0	216	20	131	0	0	886	648	40	20	0	217
SWEEP_R11_K3_N20_M216_S000-o.out	1	216	20	0	0	0	72	1080	36	18	0	234
SWEEP_R11_K3_N20_M216_S001-d.out	2	216	20	811	0	0	645	0	14299590	645	6614689	215
SWEEP_R11_K3_N20_M216_S001-l.out	0	216	20	142	0	0	886	648	40	20	0	217
SWEEP_R11_K3_N20_M216_S001-o.out	1	216	20	0	0	0	72	1080	36	18	0	234
SWEEP_R11_K3_N20_M216_S002-d.out	2	216	20	898	0	0	645	0	16797820	645	7896181	215
SWEEP_R11_K3_N20_M216_S002-l.out	0	216	20	146	0	0	886	648	40	20	0	217
SWEEP_R11_K3_N20_M216_S002-o.out	1	216	20	0	0	0	72	1080	36	18	0	234
SWEEP_R12_K3_N16_M192_S000-d.out	2	192	16	12	0	0	573	0	250359	573	118352	191
SWEEP_R12_K3_N16_M192_S000-l.out	0	192	16	8	0	0	786	576	32	16	0	193
SWEEP_R12_K3_N16_M192_S000-o.out	1	192	16	0	0	0	56	960	28	14	0	206
SWEEP_R12_K3_N16_M192_S001-d.out	2	192	16	42	0	0	573	0	968349	573	440211	191
SWEEP_R12_K3_N16_M192_S001-l.out	0	192	16	8	0	0	786	576	32	16	0	193
SWEEP_R12_K3_N16_M192_S001-o.out	1	192	16	0	0	0	56	960	28	14	0	206
SWEEP_R12_K3_N16_M192_S002-d.out	2	192	16	30	0	0	573	0	610750	573	293262	191
SWEEP_R12_K3_N16_M192_S002-l.out	0	192	16	8	0	0	786	576	32	16	0	193
SWEEP_R12_K3_N16_M192_S002-o.out	1	192	16	0	0	0	56	960	28	14	0	206
SWEEP_R12_K3_N20_M224_S000-d.out	2	224	20	307	0	0	669	0	5151512	669	2352542	223
SWEEP_R12_K3_N20_M224_S000-l.out	0	224	20	131	0	0	918	672	40	20	0	225
SWEEP_R12_K3_N20_M224_S000-o.out	1	224	20	0	0	0	72	1120	36	18	0	242
SWEEP_R12_K3_N20_M224_S001-d.out	2	224	20	810	0	0	669	0	14299590	669	6614689	223
SWEEP_R12_K3_N20_M224_S001-l.out	0	224	20	142	0	0	918	672	40	20	0	225
SWEEP_R12_K3_N20_M224_S001-o.out	1	224	20	0	0	0	72	1120	36	18	0	242
SWEEP_R12_K3_N20_M224_S002-d.out	2	224	20	898	0	0	669	0	16797820	669	7896181	223
SWEEP_R12_K3_N20_M224_S002-l.out	0	224	20	147	0	0	918	672	40	20	0	225
SWEEP_R12_K3_N20_M224_S002-o.out	1	224	20	0	0	0	72	1120	36	18	0	242
SWEEP_R12_K3_N20_M232_S000-d.out	2	232	20	307	0	0	693	0	5151512	693	2352542	231
SWEEP_R12_K3_N20_M232_S000-l.out	0	232	20	131	0	0	950	696	40	20	0	233
SWEEP_R12_K3_N20_M232_S000-o.out	1	232	20	0	0	0	72	1160	36	18	0	250
SWEEP_R12_K3_N20_M232_S001-d.out	2	232	20	811	0	0	693	0	14299590	693	6614689	231
SWEEP_R12_K3_N20_M232_S001-l.out	0	232	20	142	0	0	950	696	40	20	0	233
SWEEP_R12_K3_N20_M232_S001-o.out	1	232	20	0	0	0	72	1160	36	18	0	250
SWEEP_R12_K3_N20_M232_S002-d.out	2	232	20	900	0	0	693	0	16797820	693	7896181	231
SWEEP_R12_K3_N20_M232_S002-l.out	0	232	20	147	0	0	950	696	40	20	0	233
SWEEP_R12_K3_N20_M232_S002-o.out	1	232	20	0	0	0	72	1160	36	18	0	250
SWEEP_R12_K3_N20_M236_S000-d.out	2	236	20	307	0	0	705	0	5151512	705	2352542	235
SWEEP_R12_K3_N20_M236_S000-l.out	0	236	20	131	0	0	966	708	40	20	0	237
SWEEP_R12_K3_N20_M236_S000-o.out	1	236	20	0	0	0	72	1180	36	18	0	254
SWEEP_R12_K3_N20_M236_S001-d.out	2	236	20	810	0	0	705	0	14299590	705	6614689	235
SWEEP_R12_K3_N20_M236_S001-l.out	0	236	20	142	0	0	966	708	40	20	0	237
SWEEP_R12_K3_N20_M236_S001-o.out	1	236	20	0	0	0	72	1180	36	18	0	254
SWEEP_R12_K3_N20_M236_S002-d.out	2	236	20	899	0	0	705	0	16797820	705	7896181	235
SWEEP_R12_K3_N20_M236_S002-l.out	0	236	20	147	0	0	966	708	40	20	0	237
SWEEP_R12_K3_N20_M236_S002-o.out	1	236	20	0	0	0	72	1180	36	18	0	254
SWEEP_R13_K3_N16_M208_S000-d.out	2	208	16	12	0	0	621	0	250359	621	118352	207
SWEEP_R13_K3_N16_M208_S000-l.out	0	208	16	8	0	0	850	624	32	16	0	209
SWEEP_R13_K3_N16_M208_S000-o.out	1	208	16	0	0	0	56	1040	28	14	0	222
SWEEP_R13_K3_N16_M208_S001-d.out	2	208	16	42	0	0	621	0	968349	621	440211	207
SWEEP_R13_K3_N16_M208_S001-l.out	0	208	16	9	0	0	850	624	32	16	0	209
SWEEP_R13_K3_N16_M208_S001-o.out	1	208	16	0	0	0	56	1040	28	14	0	222
SWEEP_R13_K3_N16_M208_S002-d.out	2	208	16	30	0	0	621	0	610750	621	293262	207
SWEEP_R13_K3_N16_M208_S002-l.out	0	208	16	8	0	0	850	624	32	16	0	209
SWEEP_R13_K3_N16_M208_S002-o.out	1	208	16	0	0	0	56	1040	28	14	0	222
SWEEP_R13_K3_N20_M244_S000-d.out	2	244	20	307	0	0	729	0	5151512	729	2352542	243
SWEEP_R13_K3_N20_M244_S000-l.out	0	244	20	131	0	0	998	732	40	20	0	245
SWEEP_R13_K3_N20_M244_S000-o.out	1	244	20	0	0	0	72	1220	36	18	0	262
SWEEP_R13_K3_N20_M244_S001-d.out	2	244	20	813	0	0	729	0	14299590	729	6614689	243
SWEEP_R13_K3_N20_M244_S001-l.out	0	244	20	141	0	0	998	732	40	20	0	245
SWEEP_R13_K3_N20_M244_S001-o.out	1	244	20	0	0	0	72	1220	36	18	0	262
SWEEP_R13_K3_N20_M244_S002-d.out	2	244	20	912	0	0	729	0	16797820	729	7896181	243
SWEEP_R13_K3_N20_M244_S002-l.out	0	244	20	147	0	0	998	732	40	20	0	245
SWEEP_R13_K3_N20_M244_S002-o.out	1	244	20	0	0	0	72	1220	36	18	0	262
SWEEP_R13_K3_N20_M252_S000-d.out	2	252	20	309	0	0	753	0	5151512	753	2352542	251
SWEEP_R13_K3_N20_M252_S000-l.out	0	252	20	132	0	0	1030	756	40	20	0	253
SWEEP_R13_K3_N20_M252_S000-o.out	1	252	20	0	0	0	72	1260	36	18	0	270
SWEEP_R13_K3_N20_M252_S001-d.out	2	252	20	809	0	0	753	0	14299590	753	6614689	251
